jamaica,NCAP_DOS_55_JA,15,1,29,3
jamaica,NCAP_DOS_55_JA,29,13,11,28
jamaica,NCAP_DOS_55_JA,31,77,32,165
jamaica,NCAP_DOS_55_JA,32,165,32,166
jamaica,NCAP_DOS_55_JA,32,166,16,158
jamaica,NCAP_DOS_55_JA,34,20,32,199
jamaica,NCAP_DOS_55_JA,32,199,19,62
virginislands,NCAP_DOS_103_VI,2,18,2,19
stvincentgrenadines,NCAP_DOS_116_VC,1,191,1,192
stvincentgrenadines,NCAP_DOS_CAR,23,3,23,4
stvincentgrenadines,NCAP_DOS_CAR,23,4,23,5
stvincentgrenadines,NCAP_DOS_CAR,23,5,23,6
stvincentgrenadines,NCAP_DOS_CAR,23,6,23,7
stvincentgrenadines,NCAP_DOS_CAR,23,7,23,8
stvincentgrenadines,NCAP_DOS_CAR,23,8,23,9
stvincentgrenadines,NCAP_DOS_CAR,23,9,23,10
stvincentgrenadines,NCAP_DOS_CAR,23,10,23,11
stvincentgrenadines,NCAP_DOS_CAR,23,11,23,12
stvincentgrenadines,NCAP_DOS_CAR,23,12,23,13
stvincentgrenadines,NCAP_DOS_CAR,23,13,23,14
stvincentgrenadines,NCAP_DOS_CAR,23,14,23,15
stvincentgrenadines,NCAP_DOS_CAR,23,15,23,16
stvincentgrenadines,NCAP_DOS_CAR,23,16,23,17
stvincentgrenadines,NCAP_DOS_CAR,23,17,23,18
stvincentgrenadines,NCAP_DOS_CAR,23,18,23,19
stvincentgrenadines,NCAP_DOS_CAR,23,19,23,20
stvincentgrenadines,NCAP_DOS_CAR,23,20,23,21
stvincentgrenadines,NCAP_DOS_CAR,23,33,23,34
stvincentgrenadines,NCAP_DOS_CAR,23,34,23,35
stvincentgrenadines,NCAP_DOS_CAR,23,66,23,67
stvincentgrenadines,NCAP_DOS_CAR,23,67,23,68
stvincentgrenadines,NCAP_DOS_CAR,23,68,23,69
stvincentgrenadines,NCAP_DOS_CAR,23,69,23,70
stvincentgrenadines,NCAP_DOS_CAR,23,71,23,72
stvincentgrenadines,NCAP_DOS_CAR,23,72,23,73
stvincentgrenadines,NCAP_DOS_CAR,23,73,23,74
stvincentgrenadines,NCAP_DOS_CAR,23,75,23,76
stvincentgrenadines,NCAP_DOS_CAR,23,76,23,77
stvincentgrenadines,NCAP_DOS_CAR,21,54,21,53
stvincentgrenadines,NCAP_DOS_CAR,21,53,21,52
stvincentgrenadines,NCAP_DOS_CAR,19,114,19,113
stvincentgrenadines,NCAP_DOS_CAR,19,113,19,112
stvincentgrenadines,NCAP_DOS_CAR,22,147,23,3
stvincentgrenadines,NCAP_DOS_CAR,23,31,22,127
stvincentgrenadines,NCAP_DOS_CAR,23,31,23,80
stvincentgrenadines,NCAP_DOS_CAR,21,3,23,80
stvincentgrenadines,NCAP_DOS_CAR,19,96,21,67
stvincentgrenadines,NCAP_DOS_CAR,21,66,19,114
stvincentgrenadines,NCAP_DOS_CAR,19,114,21,57
stvincentgrenadines,NCAP_DOS_CAR,21,16,23,64
stlucia,NCAP_DOS_3_WW,2,180,2,178
